title,review,user_name,rating
Awesome,Best mobile in range...READ MORE,Saryu Prasad Tiwari ,5
Excellent,Excellent mobile quality 😍😍😍READ MORE,Subhash Sharma,5
Nice product,High recommend camera bestBattery pickup niceREAD MORE,Mohd Shams Uddin,4
Awesome,osm phone in this segmentREAD MORE,Pramod  Shukla,5
Slightly disappointed,"Everything in this mobile is pretty good and android is lovely. A very bad experience from samsung. Network problem is really unacceptable. In the area where network is very high in this area it is saying out of network coverage area. At all, not happy with the performance of the mobile. I was very excited bcoz this was my 1st ever samsung mobile till now.READ MORE",Aloka Sahu,2
Mind-blowing purchase,Samsung delivered a phone at his best for this price.Camera is good as per the cost and you can not expect moreSAMOLED very good displayNotifications are up to the current trendBatter is good since 6000 mah powerI don't want to go for china product so I always go for non-china makersGo for it!READ MORE,Thamarai selvan T,5
Value-for-money,"Nice battery backup, good camera and also a good display. For daily use phone is smooth and perfect.READ MORE",Rajib Pain,4
Terrific purchase,"Fastest Delivery for ever, Good product, value for moneyREAD MORE",Siril  VR,5
Really Nice,My personal opinion 1. Camera - 3.5/52.Display- 4/53. Battery - 4/54. Performance - 4/55. Gaming Experiance - 3.5/5 (PUBG COD)6. Sim Network reception - 4/5 (No 4G+ Support)7. External speaker quality- 3.5/58. No lag or freezing issue9. Battery Charging time @ 2 hours and 30 min.10. Battery Discharge time @ 1.5 Day (For moderate user)10. All sensors are work Perfectly11. Super amoled Display with 90 Hz Refresh rate great combinationREAD MORE,Abhyuday Jagtap,4
Wonderful,I got the product at my door step in 16 hours after ordering so thank you flipkart for this excellent delivery. I have used it for 3 days and now writing my review:Pro:1. Battery is brilliant and perfect for people who spent lot of time on multimedia2. Display 90hrz is very smooth and good looking. Didn't feel the absence of Full HD actually better than full HD IPS displays.3. Samsung One UI 4. Look & feel. Very comfortable to hold. Background Matt finish no fingerprint5. Primary camera...READ MORE,Pallab Saha,4
